DATE,TIME,FIELD,VENUE,ROUND,GRADE,TEAM 1,TEAM 2
06/04/2025,11:30,SF,Newcastle International Hockey Centre,3,5TH GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association University
06/04/2025,10:00,WF,Newcastle International Hockey Centre,3,5TH GRADE,Newcastle Hockey Association Tigers Yellow,Newcastle Hockey Association Wests
06/04/2025,08:30,WF,Newcastle International Hockey Centre,3,6TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Tigers
06/04/2025,08:30,EF,Newcastle International Hockey Centre,3,6TH GRADE,Newcastle Hockey Association University Gentlemen,Newcastle Hockey Association Wests
06/04/2025,10:00,EF,Newcastle International Hockey Centre,3,6TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association University
06/04/2025,14:30,EF,Newcastle International Hockey Centre,3,HCPHL,Newcastle Hockey Association Maitland,Newcastle Hockey Association Tigers
06/04/2025,16:00,WF,Newcastle International Hockey Centre,3,HCPHL,Newcastle Hockey Association Norths,Newcastle Hockey Association Souths
06/04/2025,13:00,EF,Newcastle International Hockey Centre,3,HCPHL,Newcastle Hockey Association Gosford,Newcastle Hockey Association Wests
06/04/2025,,,,3,2ND GRADE,Newcastle Hockey Association Wests,BYE
06/04/2025,,,,3,3RD GRADE,Newcastle Hockey Association University Seapigs,BYE
06/04/2025,,,,3,4TH GRADE,Newcastle Hockey Association Norths,BYE
06/04/2025,,,,3,4TH GRADE,Newcastle Hockey Association Wests Green,BYE
06/04/2025,,,,3,4TH GRADE,Newcastle Hockey Association Colts,BYE
06/04/2025,,,,3,5TH GRADE,Newcastle Hockey Association Norths,BYE
06/04/2025,,,,3,5TH GRADE,Newcastle Hockey Association Tigers Black,BYE
06/04/2025,,,,3,6TH GRADE,Newcastle Hockey Association Colts,BYE
06/04/2025,,,,3,6TH GRADE,Newcastle Hockey Association Souths,BYE
13/04/2025,17:30,WF,Newcastle International Hockey Centre,4,2ND GRADE,Newcastle Hockey Association Souths,Newcastle Hockey Association Tigers
13/04/2025,13:00,EF,Newcastle International Hockey Centre,4,2ND GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Wests
13/04/2025,14:30,WF,Newcastle International Hockey Centre,4,3RD GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association Souths
13/04/2025,11:30,EF,Newcastle International Hockey Centre,4,3RD GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association University
13/04/2025,08:30,EF,Newcastle International Hockey Centre,4,3RD GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association University Seapigs
13/04/2025,11:30,WF,Newcastle International Hockey Centre,4,3RD GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Wests Green
13/04/2025,13:00,WF,Newcastle International Hockey Centre,4,4TH GRADE,Newcastle Hockey Association Port Stephens,Newcastle Hockey Association Souths
13/04/2025,10:00,SF,Newcastle International Hockey Centre,4,4TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Tigers
13/04/2025,10:00,EF,Newcastle International Hockey Centre,4,4TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association University
13/04/2025,14:30,SF,Newcastle International Hockey Centre,4,4TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Wests Green
13/04/2025,13:00,SF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association Port Stephens
13/04/2025,17:30,EF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association Norths,Newcastle Hockey Association Tigers Black
13/04/2025,11:30,SF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association Tigers Yellow
13/04/2025,17:30,SF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association University Seapigs,Newcastle Hockey Association University
13/04/2025,10:00,WF,Newcastle International Hockey Centre,4,5TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Wests
13/04/2025,08:30,WF,Newcastle International Hockey Centre,4,6TH GRADE,Newcastle Hockey Association Crusaders,Newcastle Hockey Association Souths
13/04/2025,08:30,SF,Newcastle International Hockey Centre,4,6TH GRADE,Newcastle Hockey Association Colts,Newcastle Hockey Association University
13/04/2025,16:00,SF,Newcastle International Hockey Centre,4,6TH GRADE,Newcastle Hockey Association Maitland,Newcastle Hockey Association University Gentlemen
13/04/2025,16:00,EF,Newcastle International Hockey Centre,4,6TH GRADE,Newcastle Hockey Association Tigers,Newcastle Hockey Association Wests
13/04/2025,15:00,,Central Coast Hockey Park,4,HCPHL,Newcastle Hockey Association Gosford,Newcastle Hockey Association Maitland
13/04/2025,16:00,WF,Newcastle International Hockey Centre,4,HCPHL,Newcastle Hockey Association Souths,Newcastle Hockey Association Tigers
13/04/2025,14:30,EF,Newcastle International Hockey Centre,4,HCPHL,Newcastle Hockey Association Norths,Newcastle Hockey Association Wests
13/04/2025,,,,4,2ND GRADE,Newcastle Hockey Association Maitland,BYE
13/04/2025,,,,4,3RD GRADE,Newcastle Hockey Association Wests Red,BYE
