Club,Grade,Team Name
Tigers,PHL,Tigers
Tigers,2nd,Tigers
Tigers,3rd,Tigers
Tigers,4th,Tigers
Tigers,5th,Tigers
Tigers,6th,Tigers Yellow
Tigers,6th,Tigers Black
